aligned_dna_short_read_id,experiment_dna_short_read_id,aligned_dna_short_read_file,aligned_dna_short_read_index_file,md_5_sum,reference_assembly,alignment_software,mean_coverage,analysis_details,reference_assembly_details,reference_assembly_uri,quality_issues
PMGRC-100-101-3_LS4268816_SQ6048_1,PMGRC-100-101-3_LS4268816_SQ6048,gs://fc-secure-24949661-c351-4884-990f-167096bc2353/cram/PMGRC-100-101-3_LS4268816_SQ6048.cram,gs://fc-secure-24949661-c351-4884-990f-167096bc2353/cram/PMGRC-100-101-3_LS4268816_SQ6048.crai,a08843b8b1dd26457b9c1990855c9136,GRCh38,bwa 0.7.17,43.5,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-101-101-0_LS4268818_SQ6050_1,PMGRC-101-101-0_LS4268818_SQ6050,gs://fc-secure-24949661-c351-4884-990f-167096bc2353/cram/PMGRC-101-101-0_LS4268818_SQ6050.cram,gs://fc-secure-24949661-c351-4884-990f-167096bc2353/cram/PMGRC-101-101-0_LS4268818_SQ6050.crai,007bb415de0a480a86fd6f5f1c935ef7,GRCh38,bwa 0.7.17,47,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-103-106-1_LS3516158_SQ6092_1,PMGRC-103-106-1_LS3516158_SQ6092,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-103-106-1_LS3516158_SQ6092.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-103-106-1_LS3516158_SQ6092.crai,,GRCh38,bwa 0.7.17,37.7,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-104-104-0_LS4073403_SQ6094_1,PMGRC-104-104-0_LS4073403_SQ6094,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-104-104-0_LS4073403_SQ6094.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-104-104-0_LS4073403_SQ6094.crai,,GRCh38,bwa 0.7.17,37.3,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-105-106-2_LS3516157_SQ6091_1,PMGRC-105-106-2_LS3516157_SQ6091,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-105-106-2_LS3516157_SQ6091.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-105-106-2_LS3516157_SQ6091.crai,,GRCh38,bwa 0.7.17,38.8,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-106-106-0_LS3516159_SQ6093_1,PMGRC-106-106-0_LS3516159_SQ6093,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-106-106-0_LS3516159_SQ6093.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-106-106-0_LS3516159_SQ6093.crai,,GRCh38,bwa 0.7.17,27.4,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-107-107-0_LS3516220_SQ6058_1,PMGRC-107-107-0_LS3516220_SQ6058,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-107-107-0_LS3516220_SQ6058.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-107-107-0_LS3516220_SQ6058.crai,,GRCh38,bwa 0.7.17,37.6,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-108-108-0_LS3516233_SQ6119_1,PMGRC-108-108-0_LS3516233_SQ6119,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-108-108-0_LS3516233_SQ6119.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-108-108-0_LS3516233_SQ6119.crai,,GRCh38,bwa 0.7.17,29.6,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-109-108-2_LS3516234_SQ6120_1,PMGRC-109-108-2_LS3516234_SQ6120,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-109-108-2_LS3516234_SQ6120.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-109-108-2_LS3516234_SQ6120.crai,,GRCh38,bwa 0.7.17,28.7,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-11-11-0_LS3516167_SQ6101_1,PMGRC-11-11-0_LS3516167_SQ6101,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-11-11-0_LS3516167_SQ6101.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-11-11-0_LS3516167_SQ6101.crai,,GRCh38,bwa 0.7.17,47.7,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
