aligned_dna_short_read_set_id,aligned_dna_short_read_id
PMGRC-100-101-3_LS4268816_SQ6048_1,PMGRC-100-101-3_LS4268816_SQ6048_1
PMGRC-101-101-0_LS4268818_SQ6050_1,PMGRC-101-101-0_LS4268818_SQ6050_1
PMGRC-103-106-1_LS3516158_SQ6092_1,PMGRC-103-106-1_LS3516158_SQ6092_1
PMGRC-104-104-0_LS4073403_SQ6094_1,PMGRC-104-104-0_LS4073403_SQ6094_1
PMGRC-105-106-2_LS3516157_SQ6091_1,PMGRC-105-106-2_LS3516157_SQ6091_1
PMGRC-106-106-0_LS3516159_SQ6093_1,PMGRC-106-106-0_LS3516159_SQ6093_1
PMGRC-107-107-0_LS3516220_SQ6058_1,PMGRC-107-107-0_LS3516220_SQ6058_1
PMGRC-108-108-0_LS3516233_SQ6119_1,PMGRC-108-108-0_LS3516233_SQ6119_1
PMGRC-109-108-2_LS3516234_SQ6120_1,PMGRC-109-108-2_LS3516234_SQ6120_1
PMGRC-11-11-0_LS3516167_SQ6101_1,PMGRC-11-11-0_LS3516167_SQ6101_1
PMGRC-110-108-1_LS3516235_SQ6121_1,PMGRC-110-108-1_LS3516235_SQ6121_1
PMGRC-111-107-2_LS3516221_SQ6129_1,PMGRC-111-107-2_LS3516221_SQ6129_1
PMGRC-113-114-2_LS3516156_SQ6090_1,PMGRC-113-114-2_LS3516156_SQ6090_1
PMGRC-114-114-0_LS3516152_SQ6086_1,PMGRC-114-114-0_LS3516152_SQ6086_1
PMGRC-115-114-1_LS3516151_SQ6085_1,PMGRC-115-114-1_LS3516151_SQ6085_1
PMGRC-116-116-0_LS3516164_SQ6098_1,PMGRC-116-116-0_LS3516164_SQ6098_1
PMGRC-117-116-2_LS3516161_SQ6095_1,PMGRC-117-116-2_LS3516161_SQ6095_1
PMGRC-119-118-2_LS4743022_SQ6099_1,PMGRC-119-118-2_LS4743022_SQ6099_1
PMGRC-12-11-2_LS3516165_SQ6099_1,PMGRC-12-11-2_LS3516165_SQ6099_1
PMGRC-120-118-1_LS4743013_SQ6090_1,PMGRC-120-118-1_LS4743013_SQ6090_1
PMGRC-121-122-2_LS3762949_SQ6093_1,PMGRC-121-122-2_LS3762949_SQ6093_1
PMGRC-122-122-0_LS3762943_SQ6087_1,PMGRC-122-122-0_LS3762943_SQ6087_1
PMGRC-123-122-1_LS3762944_SQ6088_1,PMGRC-123-122-1_LS3762944_SQ6088_1
PMGRC-124-124-0_LS4073428_SQ6082_1,PMGRC-124-124-0_LS4073428_SQ6082_1
PMGRC-125-125-0_LS4743009_SQ6119_1,PMGRC-125-125-0_LS4743009_SQ6119_1
PMGRC-126-125-2_LS3516174_SQ6126_1,PMGRC-126-125-2_LS3516174_SQ6126_1
PMGRC-127-125-1_LS3516162_SQ6096_1,PMGRC-127-125-1_LS3516162_SQ6096_1
PMGRC-128-116-1_LS3516215_SQ6053_1,PMGRC-128-116-1_LS3516215_SQ6053_1
PMGRC-129-129-0_LS4268781_SQ6085_1,PMGRC-129-129-0_LS4268781_SQ6085_1
PMGRC-13-13-0_LS3516194_SQ6080_1,PMGRC-13-13-0_LS3516194_SQ6080_1
PMGRC-130-130-0_LS3516168_SQ6102_1,PMGRC-130-130-0_LS3516168_SQ6102_1
PMGRC-131-131-0_LS3516176_SQ6062_1,PMGRC-131-131-0_LS3516176_SQ6062_1
PMGRC-132-131-2_LS3516177_SQ6063_1,PMGRC-132-131-2_LS3516177_SQ6063_1
PMGRC-133-131-1_LS3516178_SQ6064_1,PMGRC-133-131-1_LS3516178_SQ6064_1
PMGRC-135-107-1_LS3516219_SQ6057_1,PMGRC-135-107-1_LS3516219_SQ6057_1
PMGRC-136-136-0_LS4268788_SQ6092_1,PMGRC-136-136-0_LS4268788_SQ6092_1
PMGRC-137-137-0_LS3516163_SQ6097_1,PMGRC-137-137-0_LS3516163_SQ6097_1
PMGRC-138-104-2_LS4073404_SQ6095_1,PMGRC-138-104-2_LS4073404_SQ6095_1
PMGRC-139-11-1_LS3516166_SQ6100_1,PMGRC-139-11-1_LS3516166_SQ6100_1
PMGRC-140-104-1_LS4698935_SQ6086_1,PMGRC-140-104-1_LS4698935_SQ6086_1
PMGRC-145-143-1_LS4699019_SQ6088_1,PMGRC-145-143-1_LS4699019_SQ6088_1
PMGRC-146-146-0_LS3516170_SQ6104_1,PMGRC-146-146-0_LS3516170_SQ6104_1
PMGRC-147-146-2_LS3516169_SQ6103_1,PMGRC-147-146-2_LS3516169_SQ6103_1
PMGRC-148-148-0_LS3516190_SQ6076_1,PMGRC-148-148-0_LS3516190_SQ6076_1
PMGRC-149-148-2_LS3516188_SQ6074_1,PMGRC-149-148-2_LS3516188_SQ6074_1
PMGRC-150-148-1_LS3516189_SQ6075_1,PMGRC-150-148-1_LS3516189_SQ6075_1
PMGRC-151-151-0_LS4698954_SQ6061_1,PMGRC-151-151-0_LS4698954_SQ6061_1
PMGRC-152-152-0_LS4698944_SQ6095_1,PMGRC-152-152-0_LS4698944_SQ6095_1
PMGRC-153-152-2_LS4698941_SQ6092_1,PMGRC-153-152-2_LS4698941_SQ6092_1
PMGRC-154-152-1_LS4698943_SQ6094_1,PMGRC-154-152-1_LS4698943_SQ6094_1
PMGRC-155-152-3_LS4698942_SQ6093_1,PMGRC-155-152-3_LS4698942_SQ6093_1
PMGRC-156-152-3_LS4698945_SQ6096_1,PMGRC-156-152-3_LS4698945_SQ6096_1
PMGRC-157-146-1_LS3516171_SQ6105_1,PMGRC-157-146-1_LS3516171_SQ6105_1
PMGRC-158-158-0_LS4268794_SQ6110_1,PMGRC-158-158-0_LS4268794_SQ6110_1
PMGRC-159-158-2_LS4268792_SQ6096_1,PMGRC-159-158-2_LS4268792_SQ6096_1
PMGRC-160-158-1_LS4268796_SQ6112_1,PMGRC-160-158-1_LS4268796_SQ6112_1
PMGRC-161-161-0_LS4073343_SQ6117_1,PMGRC-161-161-0_LS4073343_SQ6117_1
PMGRC-162-161-2_LS4073341_SQ6115_1,PMGRC-162-161-2_LS4073341_SQ6115_1
PMGRC-163-161-1_LS4073344_SQ6118_1,PMGRC-163-161-1_LS4073344_SQ6118_1
PMGRC-164-164-0_LS3516199_SQ6037_1,PMGRC-164-164-0_LS3516199_SQ6037_1
PMGRC-165-164-2_LS3516200_SQ6038_1,PMGRC-165-164-2_LS3516200_SQ6038_1
PMGRC-166-164-1_LS3516195_SQ6081_1,PMGRC-166-164-1_LS3516195_SQ6081_1
PMGRC-167-167-0_LS3516193_SQ6079_1,PMGRC-167-167-0_LS3516193_SQ6079_1
PMGRC-168-167-2_LS3516191_SQ6077_1,PMGRC-168-167-2_LS3516191_SQ6077_1
PMGRC-169-167-1_LS3516192_SQ6078_1,PMGRC-169-167-1_LS3516192_SQ6078_1
PMGRC-170-170-0_LS3762985_SQ6105_1,PMGRC-170-170-0_LS3762985_SQ6105_1
