experiment_rna_short_read_id,analyte_id,experiment_sample_id,seq_library_prep_kit_method,library_prep_type,experiment_type,read_length,single_or_paired_ends,date_data_generation,sequencing_platform,within_site_batch_name,rin,estimated_library_size,total_reads,percent_r_rna,percent_m_rna,percent_mt_rna,percent_globin,percent_umi,5_prime_3_prime_bias,percent_gc,percent_chr_x_y
CNH_I_SQ11652,LS4339048,LS4339048_SQ11652,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-02,NovaSeq,RNA 1A,8,NA,1.94970644E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ11653,LS4339049,LS4339049_SQ11653,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-02,NovaSeq,RNA 1A,7.8,NA,2.28544087E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ11654,LS4339050,LS4339050_SQ11654,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-02,NovaSeq,RNA 1A,7.5,NA,2.6442655E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ11655,LS4339051,LS4339051_SQ11655,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-02,NovaSeq,RNA 1A,8.3,NA,2.13070843E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ11656,LS4339052,LS4339052_SQ11656,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-02,NovaSeq,RNA 1A,7.7,NA,2.23184933E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ11657,LS4339053,LS4339053_SQ11657,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-02,NovaSeq,RNA 1A,8.3,NA,2.72178989E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ11658,LS4339054,LS4339054_SQ11658,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-02,NovaSeq,RNA 1A,8.3,NA,2.47942182E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ11659,LS4339055,LS4339055_SQ11659,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-02,NovaSeq,RNA 1A,7.7,NA,3.0068847E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ11660,LS4339056,LS4339056_SQ11660,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-02,NovaSeq,RNA 1A,8.1,NA,2.29268117E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ11661,LS4339057,LS4339057_SQ11661,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-02,NovaSeq,RNA 1A,7.9,NA,2.47818916E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ11662,LS4339058,LS4339058_SQ11662,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-02,NovaSeq,RNA 1A,8.5,NA,1.96453601E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ11663,LS4339059,LS4339059_SQ11663,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-02,NovaSeq,RNA 1A,8.7,NA,1.93702959E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ11664,LS4339060,LS4339060_SQ11664,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-02,NovaSeq,RNA 1A,8.2,NA,2.36922607E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ11665,LS4339061,LS4339061_SQ11665,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-02,NovaSeq,RNA 1A,7.7,NA,2.47506486E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ11666,LS4339062,LS4339062_SQ11666,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-02,NovaSeq,RNA 1A,7.5,NA,2.29007526E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ11667,LS4339063,LS4339063_SQ11667,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-02,NovaSeq,RNA 1A,7.9,NA,2.40438107E+08,NA,NA,NA,NA,NA,NA,NA,NA
