id,ticket,plate,mth,well,dna_quant,lib_quant,aligned_reads
1,RT-2338,CNMC 1A,RnD,A1,22.575,6.326,358435505
2,RT-2538,CNMC 1B,RnD,A1,26.213,8.369,443253012
3,RT-2539,CNMC 1C,RnD,A1,19.355,4.149,390660920
4,RT-2575,CNMC 1D,RnD,A1,21.412,4.609,763978037
5,RT-2072,MyOme 8,RnD,A1,21.6,2.961,358127483
6,RT-2865,MyOme 9,Verso RSD,A1,40.25,3.993,495381719
7,RT-2866,MyOme 10,Verso RSD,A1,25,4.355,588134166
8,RT-2869,CNMC 2A,RnD,A1,57.4,2.965,383578164
9,RT-2977,CNMC 2B,RnD,A1,53,3.006,504034840
10,RT-2867,MyOme 11,Verso RSD,A1,64.45,3.173,291608359
11,RT-3115,CNMC 3A,RnD,A1,22.57,3.991,479493654
12,RT-3130,CNMC 3B,RnD,A1,23.4,3.716,407341507
13,RT-3219,CNMC 3C,RnD,A1,23.1,2.525,738507267
14,RT-3230,CNMC 3D,RnD,A1,22.2,4.459,262763803
15,RT-2338,CNMC 1A,RnD,A2,24.411,6.681,701093707
16,RT-2538,CNMC 1B,RnD,A2,20.565,7.759,550019606
17,RT-2539,CNMC 1C,RnD,A2,15.157,3.217,335761605
18,RT-2575,CNMC 1D,RnD,A2,22.885,4.883,538763511
19,RT-2072,MyOme 8,RnD,A2,21,2.955,524520319
20,RT-2865,MyOme 9,Verso RSD,A2,48.3,3.918,682133148
21,RT-2866,MyOme 10,Verso RSD,A2,24.55,3.711,567524634
22,RT-2869,CNMC 2A,RnD,A2,45.9,3.741,303931753
23,RT-2977,CNMC 2B,RnD,A2,45.1,3.201,444037426
24,RT-2867,MyOme 11,Verso RSD,A2,28.25,3.618,523552303
25,RT-3115,CNMC 3A,RnD,A2,20.17,4.442,397407162
26,RT-3130,CNMC 3B,RnD,A2,23.6,3.648,526837324
27,RT-3219,CNMC 3C,RnD,A2,24.6,2.896,539643955
28,RT-3230,CNMC 3D,RnD,A2,23.7,3.623,676419815
29,RT-2338,CNMC 1A,RnD,A3,23.568,5.446,514291534
30,RT-2538,CNMC 1B,RnD,A3,23.018,6.644,548637331
31,RT-2539,CNMC 1C,RnD,A3,18.747,3.756,624541725
32,RT-2575,CNMC 1D,RnD,A3,23.329,6.087,629715279
33,RT-2072,MyOme 8,RnD,A3,22.1,1.043,623650009
34,RT-2865,MyOme 9,Verso RSD,A3,55.4,2.645,555262278
35,RT-2866,MyOme 10,Verso RSD,A3,83.25,2.023,542140939
36,RT-2869,CNMC 2A,RnD,A3,55.3,3.501,417863224
37,RT-2977,CNMC 2B,RnD,A3,68.5,3.415,631452885
38,RT-2867,MyOme 11,Verso RSD,A3,3,0.23,
39,RT-3115,CNMC 3A,RnD,A3,23.05,4.24,592008196
40,RT-3130,CNMC 3B,RnD,A3,29.6,3.92,530582752
41,RT-3219,CNMC 3C,RnD,A3,24.8,3.406,503669316
42,RT-3230,CNMC 3D,RnD,A3,23.7,3.623,676419815
43,RT-2338,CNMC 1A,RnD,B1,20.322,5.965,514002882
44,RT-2538,CNMC 1B,RnD,B1,23.343,7.702,443829248
45,RT-2539,CNMC 1C,RnD,B1,21.886,8.646,475488751
46,RT-2575,CNMC 1D,RnD,B1,20,5.581,537945770
47,RT-2072,MyOme 8,RnD,B1,22,3.047,421054063
48,RT-2865,MyOme 9,Verso RSD,B1,25.95,3.14,587769980
